GET http://localhost/ name=http://localhost/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=3 sig=0x2312b2db
GET http://localhost/lista4/ name=lista4 type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=470 notes=3 sig=0x8d2a3a53
GET http://localhost/lista4/0/ name=0 type=dir linked=no browsers=7 browser_used=FAST dup=0 returns_404 code=404 len=326 notes=1 sig=0xc634abbe
GET http://localhost/lista4/02/ name=02 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=327 notes=1 sig=0xc634abbe
GET http://localhost/lista4/09/ name=09 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=327 notes=1 sig=0xc634abbe
GET http://localhost/lista4/101/ name=101 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=328 notes=1 sig=0xc634abbe
GET http://localhost/lista4/13/ name=13 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=327 notes=1 sig=0xc634abbe
GET http://localhost/lista4/1993/ name=1993 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=329 notes=1 sig=0xc634abbe
GET http://localhost/lista4/1998/ name=1998 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=329 notes=1 sig=0xc634abbe
GET http://localhost/lista4/20/ name=20 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=327 notes=1 sig=0xc634abbe
GET http://localhost/lista4/2000/ name=2000 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=329 notes=1 sig=0xc634abbe
GET http://localhost/lista4/2011/ name=2011 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=329 notes=1 sig=0xc634abbe
GET http://localhost/lista4/8/ name=8 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=326 notes=1 sig=0xc634abbe
GET http://localhost/lista4/_admin/ name=_admin type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=331 notes=1 sig=0xc634abbe
